sample_index,filename,gt_min,gt_max,gt_mean,gt_std,lr_min,lr_max,lr_mean,lr_std,bicubic_min,bicubic_max,bicubic_mean,bicubic_std,airnet_min,airnet_max,airnet_mean,airnet_std,bicubic_psnr,bicubic_ssim,airnet_psnr,airnet_ssim,psnr_diff,ssim_diff
0,000001.npy,0.0,1.0,0.326519,0.15751,-0.003123,1.409106,0.326754,0.171074,0.0,1.0,0.326501,0.166571,0.0,0.054118,0.005941,0.009173,25.4811,0.5694,8.9322,0.0347,-16.5489,-0.5347
1,000021.npy,0.0,1.0,0.383901,0.139455,0.016655,1.035733,0.383132,0.151329,0.0,1.0,0.383135,0.147358,0.0,0.059712,0.005296,0.008708,25.4854,0.4827,7.876,0.0277,-17.6093,-0.4549
2,000034.npy,0.0,1.0,0.635278,0.300348,-0.03652,1.471703,0.634974,0.31722,0.0,1.0,0.631856,0.305196,0.0,0.0722,0.006479,0.010818,20.2754,0.4422,3.1346,0.0198,-17.1409,-0.4225
3,000064.npy,0.0,1.0,0.737025,0.286713,0.005572,1.570037,0.738704,0.311322,0.0,1.0,0.720747,0.282947,0.0,0.07949,0.006733,0.011293,21.6095,0.3969,2.1087,0.0114,-19.5008,-0.3855
4,000095.npy,0.0,1.0,0.150647,0.118629,0.00404,1.234918,0.150886,0.122863,0.0,1.0,0.150837,0.121218,0.0,0.0531,0.006847,0.009333,30.5314,0.741,14.5665,0.1056,-15.9649,-0.6354
62,000766.npy,0.0,1.0,0.252976,0.22664,-0.012513,1.201091,0.252607,0.234052,0.0,1.0,0.252609,0.23137,0.0,0.059672,0.006999,0.01013,24.7242,0.6945,9.4946,0.0848,-15.2296,-0.6097
17,000202.npy,0.0,1.0,0.558106,0.303745,-0.000821,1.58731,0.558081,0.32551,0.003109,1.0,0.554584,0.313648,0.0,0.071637,0.006445,0.010479,20.837,0.3036,4.0129,0.0566,-16.8241,-0.247
145,001529.npy,0.0,1.0,0.289763,0.126265,0.00434,1.13329,0.289343,0.134626,0.000968,1.0,0.289335,0.131344,0.0,0.054698,0.00617,0.009221,26.4448,0.5451,10.1502,0.028,-16.2947,-0.5172
130,001443.npy,0.0,1.0,0.384086,0.147088,-0.00771,1.400761,0.383765,0.166367,0.0,1.0,0.383671,0.160014,0.0,0.063614,0.005541,0.009058,23.0505,0.5803,7.8202,0.0133,-15.2303,-0.5669
119,001354.npy,0.0,1.0,0.468823,0.186931,0.012825,1.479294,0.469205,0.206902,0.013425,1.0,0.468371,0.198243,0.0,0.068842,0.005518,0.009093,22.2067,0.3541,6.0268,0.0155,-16.1799,-0.3387
