filename,input_width,input_height,output_width,output_height,psnr,ssim,lpips,bicubic_psnr,bicubic_ssim,bicubic_lpips
000001.npy,128,128,256,256,8.9912,0.0364,0.3188,25.4811,0.5694,0.0392
000021.npy,128,128,256,256,7.9483,0.0348,0.3757,25.4854,0.4827,0.04
000034.npy,128,128,256,256,3.1932,0.0214,0.6247,20.2754,0.4422,0.0727
000064.npy,128,128,256,256,2.1674,0.0183,0.7252,21.6095,0.3969,0.062
000095.npy,128,128,256,256,14.587,0.0885,0.1445,30.5314,0.741,0.0199
000098.npy,128,128,256,256,8.4906,0.0291,0.3331,24.7249,0.5756,0.0432
000103.npy,128,128,256,256,5.2958,0.0284,0.5046,22.5519,0.3208,0.0563
000122.npy,128,128,256,256,8.3103,0.1897,0.2784,23.6759,0.6578,0.0404
000130.npy,128,128,256,256,7.0919,0.0048,0.4082,22.4303,0.7552,0.0576
000146.npy,128,128,256,256,6.1384,0.0255,0.4466,21.8315,0.2653,0.0605
