sample_id,sample_filename,AIR-Net PSNR,AIR-Net SSIM,Bicubic PSNR,Bicubic SSIM
0,000001.npy,8.9551,0.0256,25.4811,0.5694
1,000021.npy,7.9191,0.0262,25.4854,0.4827
2,000034.npy,3.1957,0.0158,20.2754,0.4422
3,000064.npy,2.1724,0.014,21.6095,0.3969
4,000095.npy,14.509,0.0576,30.5314,0.741
5,000098.npy,8.462,0.0215,24.7249,0.5756
6,000103.npy,5.2849,0.0219,22.5519,0.3208
7,000122.npy,8.2944,0.1543,23.6759,0.6578
8,000130.npy,7.0788,0.0041,22.4303,0.7552
9,000146.npy,6.1253,0.0186,21.8315,0.2653
10,000160.npy,8.6921,0.0204,26.4448,0.7541
11,000161.npy,9.2388,0.022,25.3308,0.7104
12,000186.npy,10.9186,0.0592,26.8964,0.7732
13,000189.npy,8.4177,0.0188,23.0377,0.6773
14,000197.npy,5.1833,0.0104,23.1404,0.5555
15,000200.npy,6.662,0.0119,22.8427,0.3415
16,000201.npy,3.8488,0.0421,20.4947,0.2884
17,000202.npy,4.0746,0.0429,20.837,0.3036
18,000206.npy,7.1657,0.0121,19.5628,0.5943
19,000241.npy,1.0106,0.0171,20.2173,0.1794
20,000253.npy,1.7908,0.0163,20.595,0.2168
21,000262.npy,9.5674,0.063,24.5701,0.717
22,000293.npy,5.3885,0.009,21.9055,0.3147
23,000317.npy,4.5278,0.0156,19.3828,0.2828
24,000330.npy,12.2534,0.0226,27.5525,0.8021
25,000337.npy,12.8909,0.0579,28.5028,0.6862
26,000378.npy,3.0055,0.0076,19.274,0.4386
27,000379.npy,2.6497,0.0083,18.7367,0.4029
28,000391.npy,16.835,0.0812,32.1086,0.8212
29,000392.npy,9.7427,0.0582,25.6151,0.6033
30,000397.npy,1.1602,0.0081,18.6411,0.1588
31,000400.npy,4.116,0.0316,21.627,0.4871
32,000403.npy,2.2034,0.0174,18.7006,0.1352
33,000418.npy,8.9583,0.0159,23.3652,0.3684
34,000452.npy,6.3426,0.034,23.8701,0.5393
35,000455.npy,1.8524,0.007,19.8572,0.3575
36,000459.npy,8.8859,0.0145,22.4482,0.5953
37,000466.npy,5.0883,0.0105,21.554,0.2151
38,000474.npy,2.3386,0.02,19.4559,0.2406
39,000488.npy,13.4254,0.0556,26.1835,0.7778
40,000492.npy,10.3965,0.0212,23.1989,0.732
41,000502.npy,4.7824,0.0109,21.0345,0.4184
42,000540.npy,1.9306,0.0114,20.868,0.3343
43,000562.npy,4.9022,0.008,19.1802,0.3728
44,000563.npy,5.0482,0.0087,20.1451,0.4132
45,000586.npy,8.1278,0.0114,22.8002,0.3633
46,000600.npy,5.6912,0.041,22.8806,0.5884
47,000608.npy,6.9271,0.0162,21.8756,0.5606
48,000623.npy,5.4149,0.0062,20.5654,0.5117
49,000627.npy,4.8835,0.0002,10.1249,0.2517
50,000640.npy,5.7648,0.0154,21.1554,0.404
51,000641.npy,5.0327,0.0031,18.7738,0.3868
52,000646.npy,4.7332,0.0091,21.8537,0.4877
53,000648.npy,4.7739,0.0056,21.7619,0.6914
54,000659.npy,3.3165,0.0079,19.1021,0.5011
55,000663.npy,3.4273,0.0227,19.7776,0.225
56,000683.npy,7.5052,0.0379,23.887,0.6854
57,000698.npy,1.6247,0.0204,19.7022,0.2225
58,000702.npy,13.5965,0.0182,25.6773,0.5067
59,000709.npy,17.2169,0.2802,33.1386,0.8865
60,000747.npy,4.8825,0.0218,23.0993,0.2679
61,000763.npy,5.5941,0.0057,20.1534,0.2906
62,000766.npy,9.5179,0.0453,24.7242,0.6945
63,000769.npy,7.9691,0.0214,25.9128,0.5083
64,000775.npy,8.8691,0.0837,23.9632,0.5617
65,000779.npy,3.9153,0.0076,19.5065,0.4456
66,000791.npy,7.328,0.1441,24.9449,0.6017
67,000795.npy,9.3659,0.0117,25.0729,0.6279
68,000804.npy,7.454,0.0073,19.6705,0.5867
69,000815.npy,8.7278,0.066,22.0539,0.6673
70,000835.npy,7.406,0.027,22.387,0.6861
71,000854.npy,6.8982,0.0061,20.9065,0.5208
72,000860.npy,9.4211,0.0705,26.1128,0.8069
73,000863.npy,3.3987,0.0109,19.8508,0.4052
74,000870.npy,5.9883,0.0072,20.9604,0.2897
75,000877.npy,10.9505,0.0358,26.8481,0.4979
76,000878.npy,10.8192,0.0355,28.643,0.5828
77,000880.npy,5.5186,0.0144,22.5721,0.3562
78,000955.npy,6.5753,0.0221,22.5683,0.2828
79,000956.npy,6.1522,0.0107,21.3006,0.5624
80,000960.npy,9.254,0.0296,27.3012,0.441
81,000972.npy,4.8064,0.0318,23.2092,0.5073
82,000975.npy,10.3782,0.058,26.722,0.6987
83,000995.npy,5.7458,0.0205,23.6182,0.3156
84,001016.npy,7.9015,0.0212,23.6503,0.6
85,001020.npy,8.7374,0.0141,23.0865,0.656
86,001021.npy,11.999,0.0153,23.9578,0.661
87,001028.npy,6.4523,0.0312,23.57,0.5946
88,001038.npy,3.9436,0.0105,20.6727,0.4001
89,001051.npy,1.8686,0.0155,21.5328,0.3117
90,001059.npy,5.0683,0.0042,20.9432,0.5988
91,001076.npy,5.2272,0.0053,21.215,0.5729
92,001082.npy,4.2384,0.0261,23.4455,0.3246
93,001095.npy,13.9018,0.0733,31.8042,0.8144
94,001129.npy,7.5033,0.0282,23.9754,0.476
95,001130.npy,7.5681,0.0336,25.4078,0.5216
96,001136.npy,9.3962,0.0265,24.7413,0.7895
97,001147.npy,6.249,0.0225,21.6623,0.5318
98,001152.npy,4.5898,0.0067,19.3769,0.5761
99,001153.npy,6.1165,0.0128,22.7226,0.5995
100,001154.npy,5.4715,0.0122,21.6208,0.4895
101,001158.npy,10.7513,0.0183,24.459,0.4282
102,001162.npy,3.6185,0.018,21.9358,0.2808
103,001180.npy,8.585,0.0164,22.7926,0.736
104,001183.npy,6.609,0.0097,22.2111,0.549
105,001184.npy,4.981,0.0072,22.1373,0.6082
106,001215.npy,4.9581,0.0148,19.5648,0.6375
107,001218.npy,12.98,0.0377,25.3829,0.7217
108,001238.npy,14.4754,0.0331,29.0081,0.8144
109,001257.npy,4.6075,0.0245,21.055,0.1576
110,001267.npy,8.4574,0.0797,24.587,0.6644
111,001275.npy,9.9005,0.1177,26.1293,0.7786
112,001282.npy,11.005,0.0058,20.8398,0.4511
113,001291.npy,13.5724,0.0222,22.7314,0.7359
114,001294.npy,15.614,0.0485,28.5515,0.71
115,001297.npy,4.3826,0.0183,21.6588,0.2973
116,001300.npy,5.9882,0.0261,22.25,0.3079
117,001306.npy,2.4419,0.0052,19.0668,0.4001
118,001327.npy,10.1323,0.0337,22.6003,0.7224
119,001354.npy,6.08,0.0171,22.2067,0.3541
120,001363.npy,5.8907,0.0063,21.1802,0.3411
121,001367.npy,5.9912,0.0183,21.5907,0.3528
122,001369.npy,6.0459,0.0044,21.1458,0.6147
123,001390.npy,5.2614,0.0208,23.7161,0.3431
124,001400.npy,10.5855,0.0305,27.3762,0.7322
125,001408.npy,14.9169,0.1596,29.0676,0.8528
126,001415.npy,4.583,0.0071,19.4906,0.6382
127,001434.npy,1.0764,0.021,21.9315,0.2395
128,001438.npy,7.847,0.0229,24.2568,0.4775
129,001439.npy,8.1144,0.0234,25.4203,0.5597
130,001443.npy,7.8564,0.013,23.0505,0.5803
131,001445.npy,16.6171,0.2881,30.2942,0.9238
132,001478.npy,10.1379,0.0526,25.4813,0.7093
133,001479.npy,10.5031,0.0504,27.1863,0.752
134,001482.npy,2.1722,0.0125,21.3272,0.3676
135,001484.npy,4.075,0.0395,20.9752,0.3597
136,001485.npy,3.5044,0.0271,20.225,0.2943
137,001495.npy,5.0192,0.1177,21.9003,0.5533
138,001496.npy,4.1341,0.0265,22.6683,0.4445
139,001500.npy,6.7354,0.0139,23.5589,0.4041
140,001515.npy,15.8083,0.0436,25.4152,0.7334
141,001520.npy,4.8658,0.0136,21.6793,0.4974
142,001522.npy,7.502,0.0188,25.4573,0.6505
143,001527.npy,9.82,0.0558,26.235,0.568
144,001528.npy,5.8276,0.0125,20.5605,0.4212
145,001529.npy,10.1498,0.0208,26.4448,0.5451
146,001534.npy,12.7753,0.0307,25.4353,0.6265
147,001570.npy,14.0314,0.0192,26.7592,0.5554
148,001579.npy,18.9313,0.1626,32.0047,0.8036
149,001585.npy,6.957,0.0134,21.8468,0.673
150,001589.npy,7.0761,0.0115,20.7985,0.6027
151,001597.npy,3.042,0.0138,21.3142,0.3195
152,001603.npy,11.2377,0.0112,24.2138,0.6845
153,001631.npy,8.2079,0.0152,24.5435,0.7127
154,001634.npy,5.909,0.0156,22.8258,0.3363
155,001636.npy,2.7451,0.0142,18.376,0.4719
156,001638.npy,11.2295,0.0668,21.3166,0.7318
157,001643.npy,15.6937,0.0415,31.0137,0.7376
158,001648.npy,5.402,0.0229,21.3266,0.6404
159,001661.npy,4.0411,0.0172,22.4299,0.5577
160,001663.npy,4.0252,0.0174,20.737,0.4896
161,001678.npy,11.0835,0.029,25.6992,0.5899
162,001682.npy,7.5712,0.0202,24.4202,0.7076
163,001685.npy,2.8222,0.0202,20.3371,0.2994
164,001695.npy,7.6998,0.0323,23.1439,0.6959
165,001696.npy,7.7993,0.0805,24.0144,0.7779
166,001698.npy,14.5278,0.0283,27.5099,0.5649
167,001704.npy,5.2674,0.0206,22.5967,0.4683
168,001707.npy,5.5494,0.0253,23.0564,0.3342
169,001722.npy,7.5184,0.0118,23.8638,0.6796
170,001733.npy,10.5328,0.063,26.4194,0.6625
171,001734.npy,13.0739,0.0609,28.4797,0.7052
172,001751.npy,3.6547,0.011,21.4383,0.3956
173,001757.npy,8.5987,0.0306,25.8623,0.5473
174,001759.npy,8.0585,0.0298,25.0746,0.496
175,001768.npy,2.6807,0.019,20.3594,0.1826
176,001787.npy,3.4899,0.0123,21.8137,0.567
177,001794.npy,2.7575,0.0093,18.2281,0.322
178,001796.npy,15.2484,0.0369,30.4386,0.8225
179,001802.npy,8.6927,0.0432,25.7187,0.5291
180,001806.npy,5.9211,0.0128,21.5685,0.5484
181,001819.npy,8.4875,0.1834,25.5461,0.6559
182,001843.npy,9.3227,0.0317,24.9578,0.6326
183,001853.npy,5.0647,0.0164,23.0558,0.4534
184,001863.npy,5.5168,0.0202,22.1845,0.2992
185,001881.npy,4.1762,0.0081,21.4165,0.5492
186,001884.npy,1.3623,0.0189,19.4431,0.1063
187,001895.npy,6.0778,0.0181,22.2807,0.4666
188,001899.npy,5.3917,0.0112,20.89,0.2343
189,001919.npy,9.353,0.0172,24.6217,0.7354
190,001923.npy,3.8667,0.0147,21.4922,0.5686
191,001930.npy,8.5586,0.0077,22.3037,0.6251
