sample_id,sample_filename,Edge MAE AIR-Net,Edge MAE Bicubic
0,000001.npy,0.155087,0.192612
1,000021.npy,0.140893,0.222125
2,000034.npy,0.375367,0.36163
3,000064.npy,0.235033,0.354779
4,000095.npy,0.084727,0.085119
5,000098.npy,0.219487,0.182405
6,000103.npy,0.117568,0.304317
7,000122.npy,0.155215,0.224908
8,000130.npy,0.579437,0.250041
9,000146.npy,0.131566,0.305965
10,000160.npy,0.268545,0.158649
11,000161.npy,0.24526,0.177419
12,000186.npy,0.18361,0.126528
13,000189.npy,0.382018,0.221823
14,000197.npy,0.278195,0.249975
15,000200.npy,0.225799,0.204313
16,000201.npy,0.105171,0.386085
17,000202.npy,0.098275,0.375947
18,000206.npy,0.550399,0.334685
19,000241.npy,0.104152,0.470094
20,000253.npy,0.146832,0.434477
21,000262.npy,0.237847,0.176338
22,000293.npy,0.256032,0.238546
23,000317.npy,0.267181,0.415511
24,000330.npy,0.281695,0.123893
25,000337.npy,0.084597,0.126248
26,000378.npy,0.495637,0.390892
27,000379.npy,0.479324,0.431705
28,000391.npy,0.091859,0.067616
29,000392.npy,0.165639,0.178534
30,000397.npy,0.254793,0.423727
31,000400.npy,0.162412,0.321824
32,000403.npy,0.131125,0.581543
33,000418.npy,0.183002,0.204704
34,000452.npy,0.126647,0.25128
35,000455.npy,0.378554,0.360064
36,000459.npy,0.353311,0.215857
37,000466.npy,0.178414,0.273866
38,000474.npy,0.145228,0.522909
39,000488.npy,0.271824,0.132911
40,000492.npy,0.362002,0.194937
41,000502.npy,0.291123,0.339801
42,000540.npy,0.237642,0.362786
43,000562.npy,0.39983,0.385457
44,000563.npy,0.395443,0.324556
45,000586.npy,0.231512,0.219089
46,000600.npy,0.156374,0.249025
47,000608.npy,0.316831,0.291695
48,000623.npy,0.444398,0.305273
49,000627.npy,1.246942,0.667177
50,000640.npy,0.258025,0.336242
51,000641.npy,0.538532,0.319549
52,000646.npy,0.328454,0.285226
53,000648.npy,0.531234,0.279822
54,000659.npy,0.473434,0.460167
55,000663.npy,0.127267,0.442285
56,000683.npy,0.251134,0.218691
57,000698.npy,0.175386,0.479759
58,000702.npy,0.219269,0.129957
59,000709.npy,0.086599,0.057049
60,000747.npy,0.088177,0.302849
61,000763.npy,0.326622,0.276765
62,000766.npy,0.16882,0.153095
63,000769.npy,0.149409,0.192207
64,000775.npy,0.123891,0.211394
65,000779.npy,0.495686,0.338177
66,000791.npy,0.08037,0.196343
67,000795.npy,0.284098,0.178432
68,000804.npy,0.554053,0.298751
69,000815.npy,0.425798,0.222081
70,000835.npy,0.360094,0.241014
71,000854.npy,0.455819,0.276963
72,000860.npy,0.235953,0.139538
73,000863.npy,0.289018,0.390724
74,000870.npy,0.287447,0.254749
75,000877.npy,0.060999,0.182156
76,000878.npy,0.061633,0.140053
77,000880.npy,0.192309,0.244566
78,000955.npy,0.109408,0.299412
79,000956.npy,0.413333,0.305887
80,000960.npy,0.050886,0.215319
81,000972.npy,0.137079,0.265116
