canonical_id,sample_filename,AIR-Net HF Energy,GT HF Energy,Bicubic HF Energy,HF Retention Ratio,AIR-Net Gradient Energy,GT Gradient Energy,Bicubic Gradient Energy,Gradient Retention Ratio,AIR-Net Laplacian Energy,GT Laplacian Energy,Bicubic Laplacian Energy,Laplacian Retention Ratio
0,000001.npy,0.00012708,0.00022451,0.00092187,0.566021,0.00097823,0.06769404,0.18111098,0.014451,0.00401702,0.00253859,0.00900959,1.582372
1,000021.npy,0.00015524,0.0005434,0.0010659,0.28567,0.00089604,0.10694082,0.20092066,0.008379,0.00495524,0.00598106,0.01034127,0.828488
2,000034.npy,0.00037063,0.00302611,0.00344896,0.122476,0.00101221,0.55557221,0.72557771,0.001822,0.01204103,0.03476007,0.03322792,0.346404
3,000064.npy,0.00047396,0.00172065,0.00297983,0.275451,0.00098249,0.34464985,0.54874843,0.002851,0.01540407,0.01919528,0.03152558,0.802492
4,000095.npy,5.703e-05,0.00023954,0.00032396,0.238051,0.00100977,0.03830189,0.06486385,0.026363,0.0018027,0.00389485,0.00320131,0.46284
5,000098.npy,0.00013424,0.00099446,0.00111795,0.134982,0.00098884,0.13136896,0.2233803,0.007527,0.00425279,0.01800719,0.01125124,0.236172
6,000103.npy,0.00025958,0.0006276,0.00190202,0.413602,0.0008665,0.09579019,0.31181449,0.009046,0.00837631,0.0086032,0.01922894,0.973626
7,000122.npy,0.00012691,0.00078663,0.00163949,0.161332,0.00089896,0.18748188,0.33843687,0.004795,0.00408159,0.00902321,0.01618389,0.452343
8,000130.npy,0.0001712,0.00273631,0.00252964,0.062567,0.0010217,0.53746951,0.59329188,0.001901,0.00540274,0.0295712,0.02246542,0.182703
9,000146.npy,0.00021776,0.00099273,0.0020842,0.219352,0.00088866,0.09586621,0.33514965,0.00927,0.0069847,0.01807402,0.02086125,0.386449
10,000160.npy,0.00012336,0.00057967,0.00098871,0.212812,0.00095,0.1915341,0.26176813,0.00496,0.00390832,0.00575093,0.00928689,0.679597
