canonical_id,sample_filename,AIR-Net PSNR,Bicubic PSNR,PSNR Difference,AIR-Net SSIM,Bicubic SSIM,SSIM Difference,Detail Loss Classification,AIR-Net PSNR Win,Bicubic PSNR Win,AIR-Net SSIM Win
0,000001.npy,8.9551,25.4811,-16.526,0.0256,0.5694,-0.5438,Severe Detail Loss,False,True,False
1,000021.npy,7.9191,25.4854,-17.5662,0.0262,0.4827,-0.4565,Severe Detail Loss,False,True,False
2,000034.npy,3.1957,20.2754,-17.0798,0.0158,0.4422,-0.4265,Severe Detail Loss,False,True,False
3,000064.npy,2.1724,21.6095,-19.4371,0.014,0.3969,-0.383,Severe Detail Loss,False,True,False
4,000095.npy,14.509,30.5314,-16.0224,0.0576,0.741,-0.6834,Severe Detail Loss,False,True,False
5,000098.npy,8.462,24.7249,-16.2629,0.0215,0.5756,-0.5541,Severe Detail Loss,False,True,False
6,000103.npy,5.2849,22.5519,-17.267,0.0219,0.3208,-0.2989,Severe Detail Loss,False,True,False
7,000122.npy,8.2944,23.6759,-15.3815,0.1543,0.6578,-0.5034,Severe Detail Loss,False,True,False
8,000130.npy,7.0788,22.4303,-15.3515,0.0041,0.7552,-0.7511,Severe Detail Loss,False,True,False
9,000146.npy,6.1253,21.8315,-15.7062,0.0186,0.2653,-0.2467,Severe Detail Loss,False,True,False
10,000160.npy,8.6921,26.4448,-17.7528,0.0204,0.7541,-0.7337,Severe Detail Loss,False,True,False
11,000161.npy,9.2388,25.3308,-16.092,0.022,0.7104,-0.6885,Severe Detail Loss,False,True,False
12,000186.npy,10.9186,26.8964,-15.9778,0.0592,0.7732,-0.714,Severe Detail Loss,False,True,False
13,000189.npy,8.4177,23.0377,-14.6201,0.0188,0.6773,-0.6585,Severe Detail Loss,False,True,False
14,000197.npy,5.1833,23.1404,-17.9571,0.0104,0.5555,-0.5451,Severe Detail Loss,False,True,False
15,000200.npy,6.662,22.8427,-16.1808,0.0119,0.3415,-0.3296,Severe Detail Loss,False,True,False
16,000201.npy,3.8488,20.4947,-16.6459,0.0421,0.2884,-0.2462,Severe Detail Loss,False,True,False
17,000202.npy,4.0746,20.837,-16.7624,0.0429,0.3036,-0.2606,Severe Detail Loss,False,True,False
18,000206.npy,7.1657,19.5628,-12.3971,0.0121,0.5943,-0.5823,Severe Detail Loss,False,True,False
19,000241.npy,1.0106,20.2173,-19.2067,0.0171,0.1794,-0.1623,Severe Detail Loss,False,True,False
20,000253.npy,1.7908,20.595,-18.8043,0.0163,0.2168,-0.2005,Severe Detail Loss,False,True,False
21,000262.npy,9.5674,24.5701,-15.0027,0.063,0.717,-0.6539,Severe Detail Loss,False,True,False
22,000293.npy,5.3885,21.9055,-16.517,0.009,0.3147,-0.3057,Severe Detail Loss,False,True,False
23,000317.npy,4.5278,19.3828,-14.855,0.0156,0.2828,-0.2672,Severe Detail Loss,False,True,False
24,000330.npy,12.2534,27.5525,-15.2991,0.0226,0.8021,-0.7795,Severe Detail Loss,False,True,False
25,000337.npy,12.8909,28.5028,-15.6119,0.0579,0.6862,-0.6283,Severe Detail Loss,False,True,False
26,000378.npy,3.0055,19.274,-16.2686,0.0076,0.4386,-0.4311,Severe Detail Loss,False,True,False
27,000379.npy,2.6497,18.7367,-16.0869,0.0083,0.4029,-0.3946,Severe Detail Loss,False,True,False
28,000391.npy,16.835,32.1086,-15.2736,0.0812,0.8212,-0.7399,Severe Detail Loss,False,True,False
29,000392.npy,9.7427,25.6151,-15.8724,0.0582,0.6033,-0.5451,Severe Detail Loss,False,True,False
30,000397.npy,1.1602,18.6411,-17.4809,0.0081,0.1588,-0.1508,Severe Detail Loss,False,True,False
31,000400.npy,4.116,21.627,-17.511,0.0316,0.4871,-0.4555,Severe Detail Loss,False,True,False
32,000403.npy,2.2034,18.7006,-16.4972,0.0174,0.1352,-0.1178,Severe Detail Loss,False,True,False
33,000418.npy,8.9583,23.3652,-14.4069,0.0159,0.3684,-0.3525,Severe Detail Loss,False,True,False
34,000452.npy,6.3426,23.8701,-17.5275,0.034,0.5393,-0.5053,Severe Detail Loss,False,True,False
35,000455.npy,1.8524,19.8572,-18.0048,0.007,0.3575,-0.3506,Severe Detail Loss,False,True,False
36,000459.npy,8.8859,22.4482,-13.5623,0.0145,0.5953,-0.5808,Severe Detail Loss,False,True,False
37,000466.npy,5.0883,21.554,-16.4657,0.0105,0.2151,-0.2046,Severe Detail Loss,False,True,False
38,000474.npy,2.3386,19.4559,-17.1173,0.02,0.2406,-0.2206,Severe Detail Loss,False,True,False
39,000488.npy,13.4254,26.1835,-12.7581,0.0556,0.7778,-0.7221,Severe Detail Loss,False,True,False
40,000492.npy,10.3965,23.1989,-12.8024,0.0212,0.732,-0.7108,Severe Detail Loss,False,True,False
41,000502.npy,4.7824,21.0345,-16.2521,0.0109,0.4184,-0.4075,Severe Detail Loss,False,True,False
42,000540.npy,1.9306,20.868,-18.9374,0.0114,0.3343,-0.3229,Severe Detail Loss,False,True,False
43,000562.npy,4.9022,19.1802,-14.278,0.008,0.3728,-0.3648,Severe Detail Loss,False,True,False
44,000563.npy,5.0482,20.1451,-15.0969,0.0087,0.4132,-0.4045,Severe Detail Loss,False,True,False
45,000586.npy,8.1278,22.8002,-14.6725,0.0114,0.3633,-0.3519,Severe Detail Loss,False,True,False
46,000600.npy,5.6912,22.8806,-17.1894,0.041,0.5884,-0.5474,Severe Detail Loss,False,True,False
47,000608.npy,6.9271,21.8756,-14.9485,0.0162,0.5606,-0.5444,Severe Detail Loss,False,True,False
48,000623.npy,5.4149,20.5654,-15.1505,0.0062,0.5117,-0.5055,Severe Detail Loss,False,True,False
49,000627.npy,4.8835,10.1249,-5.2414,0.0002,0.2517,-0.2514,Severe Detail Loss,False,True,False
50,000640.npy,5.7648,21.1554,-15.3906,0.0154,0.404,-0.3887,Severe Detail Loss,False,True,False
51,000641.npy,5.0327,18.7738,-13.7412,0.0031,0.3868,-0.3837,Severe Detail Loss,False,True,False
52,000646.npy,4.7332,21.8537,-17.1205,0.0091,0.4877,-0.4786,Severe Detail Loss,False,True,False
53,000648.npy,4.7739,21.7619,-16.988,0.0056,0.6914,-0.6858,Severe Detail Loss,False,True,False
54,000659.npy,3.3165,19.1021,-15.7856,0.0079,0.5011,-0.4932,Severe Detail Loss,False,True,False
55,000663.npy,3.4273,19.7776,-16.3503,0.0227,0.225,-0.2022,Severe Detail Loss,False,True,False
56,000683.npy,7.5052,23.887,-16.3818,0.0379,0.6854,-0.6475,Severe Detail Loss,False,True,False
57,000698.npy,1.6247,19.7022,-18.0775,0.0204,0.2225,-0.2021,Severe Detail Loss,False,True,False
58,000702.npy,13.5965,25.6773,-12.0807,0.0182,0.5067,-0.4885,Severe Detail Loss,False,True,False
59,000709.npy,17.2169,33.1386,-15.9217,0.2802,0.8865,-0.6063,Severe Detail Loss,False,True,False
60,000747.npy,4.8825,23.0993,-18.2168,0.0218,0.2679,-0.2462,Severe Detail Loss,False,True,False
61,000763.npy,5.5941,20.1534,-14.5593,0.0057,0.2906,-0.2849,Severe Detail Loss,False,True,False
62,000766.npy,9.5179,24.7242,-15.2063,0.0453,0.6945,-0.6492,Severe Detail Loss,False,True,False
63,000769.npy,7.9691,25.9128,-17.9437,0.0214,0.5083,-0.4869,Severe Detail Loss,False,True,False
64,000775.npy,8.8691,23.9632,-15.0941,0.0837,0.5617,-0.478,Severe Detail Loss,False,True,False
65,000779.npy,3.9153,19.5065,-15.5912,0.0076,0.4456,-0.438,Severe Detail Loss,False,True,False
66,000791.npy,7.328,24.9449,-17.6169,0.1441,0.6017,-0.4576,Severe Detail Loss,False,True,False
67,000795.npy,9.3659,25.0729,-15.7071,0.0117,0.6279,-0.6162,Severe Detail Loss,False,True,False
68,000804.npy,7.454,19.6705,-12.2165,0.0073,0.5867,-0.5795,Severe Detail Loss,False,True,False
