canonical_id,sample_filename,AIR-Net MAE Residual,Bicubic MAE Residual,AIR-Net StdDev,GT StdDev,Bicubic StdDev
0,000001.npy,0.320628,0.039223,0.011875,0.157511,0.166572
1,000021.npy,0.377148,0.040016,0.012988,0.139456,0.147359
2,000034.npy,0.624815,0.072689,0.02007,0.300351,0.305199
3,000064.npy,0.725087,0.062032,0.022597,0.286715,0.282949
4,000095.npy,0.146731,0.019901,0.008218,0.11863,0.121219
5,000098.npy,0.334726,0.043236,0.012207,0.175979,0.181757
6,000103.npy,0.505578,0.056344,0.016788,0.203472,0.214269
7,000122.npy,0.279531,0.040427,0.012053,0.266934,0.273881
8,000130.npy,0.408875,0.057572,0.01362,0.169756,0.174509
9,000146.npy,0.447787,0.060488,0.015492,0.211116,0.223325
10,000160.npy,0.319864,0.034394,0.011708,0.182457,0.187032
11,000161.npy,0.293246,0.037939,0.011222,0.183482,0.189836
12,000186.npy,0.219454,0.029134,0.009933,0.182416,0.186711
13,000189.npy,0.327058,0.048259,0.012147,0.193281,0.194264
14,000197.npy,0.53445,0.054364,0.016712,0.132618,0.147947
15,000200.npy,0.438527,0.055034,0.014653,0.154026,0.161906
16,000201.npy,0.561294,0.068746,0.019226,0.314966,0.322198
17,000202.npy,0.548571,0.065823,0.018769,0.303747,0.31365
18,000206.npy,0.389076,0.076656,0.013702,0.202345,0.206188
19,000241.npy,0.879924,0.073843,0.025546,0.13403,0.153007
20,000253.npy,0.794435,0.072011,0.023708,0.176483,0.187779
21,000262.npy,0.241607,0.036212,0.011169,0.230536,0.232246
22,000293.npy,0.499026,0.062621,0.016652,0.20248,0.210627
23,000317.npy,0.561363,0.081574,0.01806,0.195085,0.209548
24,000330.npy,0.207014,0.028711,0.00918,0.129612,0.130617
25,000337.npy,0.192732,0.025529,0.008726,0.120146,0.126436
26,000378.npy,0.661192,0.08482,0.020704,0.253547,0.25077
27,000379.npy,0.698096,0.090544,0.021435,0.237899,0.238744
28,000391.npy,0.115102,0.016356,0.00752,0.086669,0.087436
29,000392.npy,0.281204,0.036145,0.010948,0.165485,0.171165
30,000397.npy,0.870196,0.091885,0.025147,0.088403,0.126226
31,000400.npy,0.511884,0.056726,0.018412,0.358457,0.356158
32,000403.npy,0.771658,0.094446,0.022618,0.079169,0.137286
33,000418.npy,0.316116,0.050371,0.011881,0.166663,0.174336
34,000452.npy,0.394068,0.043278,0.015032,0.280541,0.285666
35,000455.npy,0.799139,0.082266,0.023251,0.117419,0.143274
36,000459.npy,0.309619,0.04939,0.011613,0.183526,0.18032
37,000466.npy,0.520487,0.06523,0.017142,0.199524,0.208326
38,000474.npy,0.721377,0.083012,0.02222,0.253734,0.265554
39,000488.npy,0.157779,0.03067,0.008406,0.143994,0.143304
40,000492.npy,0.241629,0.043116,0.010315,0.182407,0.180957
41,000502.npy,0.560349,0.069328,0.017414,0.136109,0.157922
42,000540.npy,0.793748,0.072198,0.023206,0.103833,0.130209
43,000562.npy,0.52784,0.084408,0.017088,0.213168,0.222417
44,000563.npy,0.513126,0.07441,0.01681,0.224007,0.229135
45,000586.npy,0.372298,0.056073,0.012855,0.124379,0.134637
46,000600.npy,0.399574,0.046628,0.015958,0.335654,0.338556
47,000608.npy,0.386744,0.056132,0.014112,0.232862,0.238656
48,000623.npy,0.522578,0.071914,0.016282,0.118964,0.131732
49,000627.npy,0.490723,0.249111,0.016099,0.289536,0.22463
50,000640.npy,0.469289,0.066015,0.015888,0.213908,0.219692
51,000641.npy,0.550698,0.090257,0.017004,0.101294,0.111271
52,000646.npy,0.559695,0.062944,0.01755,0.152221,0.165079
53,000648.npy,0.54161,0.062344,0.017061,0.200226,0.209738
