canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
0,000001.npy,8.9551,25.4811,-16.526,0.0256,0.5694,-0.5438,0.566021,0.00097823,0.06769404,0.00401702,0.00253859,Severe Detail Loss,0.320628
1,000021.npy,7.9191,25.4854,-17.5662,0.0262,0.4827,-0.4565,0.28567,0.00089604,0.10694082,0.00495524,0.00598106,Severe Detail Loss,0.377148
2,000034.npy,3.1957,20.2754,-17.0798,0.0158,0.4422,-0.4265,0.122476,0.00101221,0.55557221,0.01204103,0.03476007,Severe Detail Loss,0.624815
3,000064.npy,2.1724,21.6095,-19.4371,0.014,0.3969,-0.383,0.275451,0.00098249,0.34464985,0.01540407,0.01919528,Severe Detail Loss,0.725087
4,000095.npy,14.509,30.5314,-16.0224,0.0576,0.741,-0.6834,0.238051,0.00100977,0.03830189,0.0018027,0.00389485,Severe Detail Loss,0.146731
5,000098.npy,8.462,24.7249,-16.2629,0.0215,0.5756,-0.5541,0.134982,0.00098884,0.13136896,0.00425279,0.01800719,Severe Detail Loss,0.334726
6,000103.npy,5.2849,22.5519,-17.267,0.0219,0.3208,-0.2989,0.413602,0.0008665,0.09579019,0.00837631,0.0086032,Severe Detail Loss,0.505578
7,000122.npy,8.2944,23.6759,-15.3815,0.1543,0.6578,-0.5034,0.161332,0.00089896,0.18748188,0.00408159,0.00902321,Severe Detail Loss,0.279531
8,000130.npy,7.0788,22.4303,-15.3515,0.0041,0.7552,-0.7511,0.062567,0.0010217,0.53746951,0.00540274,0.0295712,Severe Detail Loss,0.408875
9,000146.npy,6.1253,21.8315,-15.7062,0.0186,0.2653,-0.2467,0.219352,0.00088866,0.09586621,0.0069847,0.01807402,Severe Detail Loss,0.447787
10,000160.npy,8.6921,26.4448,-17.7528,0.0204,0.7541,-0.7337,0.212812,0.00095,0.1915341,0.00390832,0.00575093,Severe Detail Loss,0.319864
11,000161.npy,9.2388,25.3308,-16.092,0.022,0.7104,-0.6885,0.293312,0.00098368,0.15534717,0.00354733,0.00417045,Severe Detail Loss,0.293246
12,000186.npy,10.9186,26.8964,-15.9778,0.0592,0.7732,-0.714,0.303256,0.0009128,0.08853093,0.00277526,0.00361134,Severe Detail Loss,0.219454
13,000189.npy,8.4177,23.0377,-14.6201,0.0188,0.6773,-0.6585,0.051205,0.00103813,0.3981964,0.00420305,0.03467233,Severe Detail Loss,0.327058
14,000197.npy,5.1833,23.1404,-17.9571,0.0104,0.5555,-0.5451,0.362611,0.00080226,0.17575979,0.00849445,0.0079958,Severe Detail Loss,0.53445
15,000200.npy,6.662,22.8427,-16.1808,0.0119,0.3415,-0.3296,0.10744,0.00089377,0.13270542,0.00635205,0.03548632,Severe Detail Loss,0.438527
16,000201.npy,3.8488,20.4947,-16.6459,0.0421,0.2884,-0.2462,0.418324,0.00104971,0.10249298,0.01092942,0.01200703,Severe Detail Loss,0.561294
17,000202.npy,4.0746,20.837,-16.7624,0.0429,0.3036,-0.2606,0.418994,0.00102857,0.10151152,0.01043489,0.01099262,Severe Detail Loss,0.548571
18,000206.npy,7.1657,19.5628,-12.3971,0.0121,0.5943,-0.5823,0.033275,0.00115957,0.61147523,0.00539832,0.07407206,Severe Detail Loss,0.389076
19,000241.npy,1.0106,20.2173,-19.2067,0.0171,0.1794,-0.1623,0.529173,0.00098047,0.21644658,0.02025593,0.01279266,Severe Detail Loss,0.879924
20,000253.npy,1.7908,20.595,-18.8043,0.0163,0.2168,-0.2005,0.436089,0.00091756,0.22040865,0.01737818,0.01307806,Severe Detail Loss,0.794435
21,000262.npy,9.5674,24.5701,-15.0027,0.063,0.717,-0.6539,0.096016,0.00099876,0.19834012,0.00341379,0.01166224,Severe Detail Loss,0.241607
22,000293.npy,5.3885,21.9055,-16.517,0.009,0.3147,-0.3057,0.115843,0.00085398,0.16254628,0.00820597,0.04391327,Severe Detail Loss,0.499026
23,000317.npy,4.5278,19.3828,-14.855,0.0156,0.2828,-0.2672,0.124276,0.00095654,0.2566939,0.00974267,0.03183611,Severe Detail Loss,0.561363
24,000330.npy,12.2534,27.5525,-15.2991,0.0226,0.8021,-0.7795,0.075367,0.00108963,0.19772638,0.00226898,0.01024674,Severe Detail Loss,0.207014
25,000337.npy,12.8909,28.5028,-15.6119,0.0579,0.6862,-0.6283,0.432843,0.0009558,0.03581953,0.00205327,0.00184515,Severe Detail Loss,0.192732
26,000378.npy,3.0055,19.274,-16.2686,0.0076,0.4386,-0.4311,0.072178,0.0010506,0.59386122,0.01288783,0.08724403,Severe Detail Loss,0.661192
