split,category,winner_count,winner_pct,mean_prob,median_prob,min_prob,max_prob
Training Set,EDGE_DOMINANT,0,0.0%,0.178679,0.177568,0.168769,0.197241
Training Set,TEXTURE_DOMINANT,20,0.69%,0.200754,0.198693,0.19256,0.233241
Training Set,NOISE_DOMINANT,0,0.0%,0.196453,0.198995,0.169005,0.206563
Training Set,SMOOTH_LOW_CONTRAST,0,0.0%,0.177981,0.178274,0.166267,0.218382
Training Set,SPARSE_FEATURE,2860,99.31%,0.246132,0.247452,0.195567,0.253732
Validation Set,EDGE_DOMINANT,0,0.0%,0.178471,0.177597,0.169915,0.193074
Validation Set,TEXTURE_DOMINANT,0,0.0%,0.200666,0.198657,0.192162,0.223082
Validation Set,NOISE_DOMINANT,0,0.0%,0.196403,0.199144,0.168551,0.205524
Validation Set,SMOOTH_LOW_CONTRAST,0,0.0%,0.178124,0.178254,0.168182,0.202638
Validation Set,SPARSE_FEATURE,320,100.0%,0.246335,0.247525,0.222727,0.25235
